Timestamp,Age (Complete),Gender,Are you employed,Do you invest the money earned or saved or received from family (if not employed currently) ?,Where do you invest? (Select all the apply),Do you get paid in ESOPs (employee stock ownership plan as a part of your CTC)?,"City of work (Write like this - Example: Pune, Maharashtra, India)","Home town (Write like this - Example: Pune, Maharashtra, India)"
3/31/2024 16:06:03,26,Female,Yes,Yes,"Stocks, Gold/Silver/Platinum, Unit Linked Insurance Plans",No,Nagpur,Nagpur
3/31/2024 16:12:11,26,Male,Yes,Yes,"Stocks, Mutual Fund, Bonds, Certificate of Deposit, Fixed Deposit, Public Provident Fund, National Pensions System",Yes,"Bengaluru, India",Varanasi
3/31/2024 16:28:38,23,Female,Yes,Yes,National Pensions System,No,Indore,Narsinghpur 
3/31/2024 16:33:00,27,Female,Yes,Yes,Mutual Fund,No,Nagpur ,Nagpur 
3/31/2024 16:34:29,26,Male,Yes,No,"Stocks, Mutual Fund, Real Estate, Gold/Silver/Platinum, Public Provident Fund",No,Nagpur,Nagpur 
3/31/2024 16:34:45,29,Female,Yes,Yes,"Mutual Fund, Fixed Deposit, Public Provident Fund",Yes,Nagpur ,Nagpur 
3/31/2024 16:38:02,26,Male,No,Yes,"Stocks, Mutual Fund, Gold/Silver/Platinum",No,Mumbai,Thane
3/31/2024 16:40:41,26,Male,Yes,Yes,"Stocks, Gold/Silver/Platinum, Bonds, Fixed Deposit",No,"Nagpur, Maharashtra, India",Nagpur 
3/31/2024 16:41:20,27,Male,Yes,Yes,Mutual Fund,No,Nagpur,Nagpur
3/31/2024 16:42:17,24,Male,Yes,Yes,"Fixed Deposit, Public Provident Fund",No,Nagpur,Nagpur
3/31/2024 16:45:01,27,Male,Yes,Yes,Stocks,No,Gurgaon,Nagpur
3/31/2024 16:47:21,26,Male,Yes,No,"Mutual Fund, Fixed Deposit",Yes,"Chennai, Tamil Nadu, India ","Nagpur, Maharashtra "
3/31/2024 16:52:01,24,Male,Yes,Yes,"Stocks, Mutual Fund",No,Mumbai,Thane 
3/31/2024 16:53:36,21,Male,Yes,Yes,"Stocks, Mutual Fund, Real Estate, Gold/Silver/Platinum, Bonds, Certificate of Deposit, Fixed Deposit, Unit Linked Insurance Plans",Yes,Mumvai,Mumbai 
3/31/2024 16:53:45,25,Male,Yes,Yes,"Mutual Fund, Fixed Deposit, Unit Linked Insurance Plans",No,"Nagpur, Maharashtra, India","Nagpur, Maharashtra, India"
3/31/2024 16:54:11,21,Female,No,Yes,"Stocks, Mutual Fund, Gold/Silver/Platinum, Bonds, Certificate of Deposit, Fixed Deposit",No,Nagpur ,Nagpur 
3/31/2024 17:00:37,24,Male,Yes,Yes,"Stocks, Mutual Fund, Real Estate, Gold/Silver/Platinum",No,"Mumbai, Maharashtra, India","Mumbai, Maharashtra, India"
3/31/2024 17:02:47,26,Male,Yes,Yes,"Stocks, Mutual Fund, Public Provident Fund",No,Nagpur,Nagpur
